Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
1,Tyreek Hill (MIA),2018,16,5,92,60,60,33,12,0,9,6,0,1,3,2,1,1,0
2,Antonio Brown (FA),2018,15,7,86,54,54,32,9,0,11,7,0,1,3,1,1,0,0
3,Davante Adams (LV),2018,15,7,92,61,61,32,6,0,11,8,0,1,4,1,1,0,0
4,DeAndre Hopkins (ARI),2018,16,7,98,74,74,24,5,0,10,8,0,1,4,1,1,0,0
5,Julio Jones (FA),2018,16,7,105,77,77,28,7,0,11,8,1,1,5,2,1,0,0
6,Mike Evans (TB),2018,16,5,95,77,77,18,4,0,9,6,0,0,4,2,1,0,0
7,Adam Thielen (CAR),2018,16,7,86,60,60,26,5,0,10,7,0,1,4,1,0,0,0
8,Michael Thomas (NO),2018,16,8,88,56,56,32,11,0,9,8,0,1,3,1,1,0,0
9,JuJu Smith-Schuster (NE),2018,16,7,89,49,49,41,11,0,10,7,0,1,3,1,0,0,0
10,Robert Woods (HOU),2018,16,5,76,50,50,26,8,0,8,6,0,0,3,1,0,0,0
11,Tyler Lockett (SEA),2018,16,4,60,47,47,13,2,0,4,4,0,0,2,1,1,0,0
12,Stefon Diggs (BUF),2018,15,7,68,38,38,30,7,0,10,7,0,1,3,1,0,0,0
13,Brandin Cooks (DAL),2018,16,5,75,54,54,22,5,0,7,5,0,1,3,1,0,0,0
14,Keenan Allen (LAC),2018,16,6,75,50,50,25,7,0,9,6,0,1,4,1,0,0,0
15,T.Y. Hilton (FA),2018,14,5,91,58,58,33,7,0,9,6,0,1,3,2,1,0,0
16,Odell Beckham Jr. (BAL),2018,12,6,88,62,62,25,9,1,10,7,0,1,4,1,1,0,0
17,Tyler Boyd (CIN),2018,14,5,73,44,44,30,7,0,8,6,0,0,3,2,0,0,0
18,Calvin Ridley (JAC),2018,16,4,51,29,29,23,4,0,6,5,1,0,2,1,0,0,0
19,Amari Cooper (CLE),2018,15,5,67,39,39,28,7,0,7,5,0,0,3,1,0,0,0
20,Mike Williams (LAC),2018,16,3,42,34,34,7,3,0,4,3,0,0,2,1,0,0,0
21,Kenny Golladay (FA),2018,15,5,71,48,48,23,7,0,8,5,0,0,3,1,0,0,0
22,Jarvis Landry (FA),2018,16,5,61,44,44,17,4,0,9,6,1,1,2,1,0,0,0
23,Julian Edelman (FA),2018,12,6,71,42,42,29,7,0,9,7,1,1,3,1,0,0,0
24,Emmanuel Sanders (FA),2018,12,6,72,48,48,25,10,1,8,6,0,1,3,1,1,0,0
25,Chris Godwin (TB),2018,16,4,53,37,37,15,3,0,6,4,0,1,3,1,0,0,0
26,Alshon Jeffery (FA),2018,13,5,65,44,44,21,9,0,7,5,0,1,3,1,0,0,0
27,Corey Davis (NYJ),2018,16,4,56,39,39,17,7,0,7,5,0,0,3,1,0,0,0
28,Larry Fitzgerald (FA),2018,16,4,46,33,33,13,5,0,7,5,0,1,2,1,0,0,0
29,Sterling Shepard (NYG),2018,16,4,55,35,35,19,3,0,7,5,0,0,2,1,0,0,0
30,Mohamed Sanu Sr. (FA),2018,16,4,52,27,27,25,7,0,6,4,0,0,2,0,0,0,0
31,Adam Humphries (FA),2018,16,5,51,25,25,26,4,0,7,5,0,0,2,0,0,0,0
32,DeSean Jackson (FA),2018,12,3,65,49,49,15,3,0,6,4,0,0,2,1,1,0,0
33,Zay Jones (JAC),2018,16,4,41,32,32,9,3,0,6,4,0,1,2,0,0,0,0
34,Golden Tate (FA),2018,15,5,53,25,25,28,12,1,8,5,0,0,2,1,0,0,0
